Sampling Frequency,True Frequency,Frequency Calculated,Cents Error,ACF Vals:
48000,50,50.000000000000206,7.303812428697996e-12
48000,100,100.00000000000004,7.688223609155801e-13
48000,150,150.00000000000006,7.688223609155801e-13
48000,200,200.0000000000002,1.5376447218311597e-12
48000,250,249.99999999999986,-9.610279511444755e-13
48000,300,299.9999999999998,-1.3454391316022661e-12
48000,350,350.00144682373843,0.007156529548026699
48000,400,399.9999999999997,-1.1532335413733707e-12
48000,450,449.9989907361637,-0.0038828308384519995
48000,500,499.99999999999994,-1.9220559022889507e-13
48000,550,550.0001601087625,0.0005039740018338697
48000,600,600.0,0.0
48000,650,650.011209796079,0.02985632817515787
48000,700,699.9968573277623,-0.007772447708685016
48000,750,749.9999999999999,-1.9220559022889507e-13
48000,800,800.0,0.0
48000,850,849.9951682936808,-0.009840986199328721
48000,900,900.0146350418553,0.028151640855072085
48000,950,950.0155404805552,0.028319988445652484
